Home_Page,Movie_Name,Genres,Release_Date,Vote_Average,Vote_Count,Budget_USD,Revenue_$,Run_Time_Minutes
https://www.imdb.com/title/tt5040012/,Nosferatu,Fantasy,12/25/24,7.3,151K,$50.0M,$176.0M,132
https://www.imdb.com/title/tt20221436/,Emilia Perez,Comedy,11/13/24,5.5,71K,$27.3M,$15.0M,132
https://www.imdb.com/title/tt27657135/,Saturday Night,Biography,10/11/24,7,26K,$25.0M,$10.0M,109
https://www.imdb.com/title/tt17526714/,The Substance,Drama,9/20/24,7.3,249K,$17.5M,$77.0M,141
https://www.imdb.com/title/tt9218128/,Gladiator II,Action,11/22/24,6.6,199K,$250.0M,$461.9M,148
https://www.imdb.com/title/tt30057084/,Babygirl,Drama,12/25/24,6,38K,0,$60.9M,114
https://www.imdb.com/title/tt28607951/,Anora,Comedy,11/8/24,7.7,96K,$6.0M,$34.6M,139
https://www.imdb.com/title/tt14858658/,Blink Twice,Mystery,8/23/24,6.5,92K,$20.0M,$48.1M,102
https://www.imdb.com/title/tt11563598/,A Complete Unknown,Biography,12/25/24,7.6,31K,$70.0M,$99.1M,141
https://www.imdb.com/title/tt18259086/,Sonic the Hedgehog 3,Action,12/20/24,7,44K,$122.0M,$478.6M,110
https://www.imdb.com/title/tt20215234/,Conclave,Drama,10/25/24,7.4,98K,$20.0M,$95.5M,120
https://www.imdb.com/title/tt21823606/,A Real Pain,Comedy,11/1/24,7.1,54K,0,$19.6M,90
https://www.imdb.com/title/tt1262426/,Wicked,Fantasy,11/22/24,7.6,127K,$150.0M,$725.0M,160
https://www.imdb.com/title/tt29623480/,The Wild Robot,Animation,9/27/24,8.2,136K,$78.0M,$328.2M,102
https://www.imdb.com/title/tt16539454/,Pushpa: The Rule - Part 2,Action,12/5/24,6.2,51K,0,$21.9M,201
https://www.imdb.com/title/tt13186482/,Mufasa: The Lion King,Animation,12/20/24,6.7,38K,$200.0M,$687.4M,118
https://www.imdb.com/title/tt13622970/,Moana 2,Animation,11/27/24,6.8,77K,$150.0M,$1.0B,100
https://www.imdb.com/title/tt28015403/,Heretic,Horror,11/8/24,7,99K,$10.0M,$57.4M,111
https://www.imdb.com/title/tt10655524/,It Ends with Us,Drama,8/9/24,6.4,76K,$25.0M,$351.0M,130
https://www.imdb.com/title/tt12810074/,Nightbitch,Comedy,12/6/24,5.6,16K,0,$171.0K,99
https://www.imdb.com/title/tt18412256/,Alien: Romulus,Horror,8/16/24,7.1,228K,$80.0M,$350.9M,119
https://www.imdb.com/title/tt8368368/,The Apprentice,Biography,10/11/24,7.1,40K,$15.0M,$17.3M,122
https://www.imdb.com/title/tt27403986/,Juror #2,Crime,12/20/24,7,84K,$30.0M,$24.8M,114
https://www.imdb.com/title/tt21097228/,A Different Man,Comedy,10/4/24,6.9,24K,0,$1.4M,112
https://www.imdb.com/title/tt0327785/,The Killer's Game,Action,9/13/24,5.7,15K,$30.0M,$5.9M,104
https://www.imdb.com/title/tt15239678/,Dune: Part Two,Action,3/1/24,8.5,599K,$190.0M,$714.6M,166
https://www.imdb.com/title/tt8790086/,Kraven the Hunter,Action,12/12/24,5.4,37K,$110.0M,$62.0M,127
https://www.imdb.com/title/tt27131358/,We Live in Time,Drama,10/18/24,7,42K,0,$55.6M,108
https://www.imdb.com/title/tt23468450/,Longlegs,Crime,7/12/24,6.6,167K,0,$126.9M,101
https://www.imdb.com/title/tt18272208/,Here,Drama,11/1/24,6.3,15K,$45.0M,$15.8M,104
https://www.imdb.com/title/tt6263850/,Deadpool & Wolverine,Action,7/26/24,7.6,468K,$200.0M,$1.3B,128
https://www.imdb.com/title/tt17279496/,Civil War,Action,4/12/24,7,227K,$50.0M,$127.3M,109
https://www.imdb.com/title/tt16366836/,Venom: The Last Dance,Action,10/25/24,6,95K,$120.0M,$478.9M,110
https://www.imdb.com/title/tt12037194/,Furiosa: A Mad Max Saga,Action,5/24/24,7.5,270K,$168.0M,$174.2M,148
https://www.imdb.com/title/tt16426418/,Challengers,Comedy,4/26/24,7.1,145K,$55.0M,$96.1M,131
https://www.imdb.com/title/tt29383379/,Marco,Action,12/20/24,7.3,17K,$3.8M,$2.0M,145
https://www.imdb.com/title/tt24871974/,Subservience,Sci-Fi,9/13/24,5.4,24K,0,$279.9K,106
https://www.imdb.com/title/tt26446278/,The Count of Monte-Cristo,Action,12/20/24,7.6,30K,$46.8M,$77.1M,178
https://www.imdb.com/title/tt1684562/,The Fall Guy,Action,5/3/24,6.8,211K,$125.0M,$181.1M,126
https://www.imdb.com/title/tt27534307/,Speak No Evil,Drama,9/13/24,6.8,87K,$15.0M,$76.8M,110
https://www.imdb.com/title/tt22893404/,Maria,Biography,12/11/24,6.5,15K,0,$12.2M,124
https://www.imdb.com/title/tt29268110/,Smile 2,Horror,10/18/24,6.8,91K,$28.0M,$138.1M,127
https://www.imdb.com/title/tt17505010/,Horizon: An American Saga - Chapter 1,Drama,6/28/24,6.7,38K,$100.0M,$38.7M,181
https://www.imdb.com/title/tt22939186/,Arcadian,Action,4/12/24,5.5,22K,0,$1.2M,92
https://www.imdb.com/title/tt12584954/,Twisters,Action,7/19/24,6.5,155K,$155.0M,$372.3M,122
https://www.imdb.com/title/tt29439114/,The Room Next Door,Drama,10/18/24,6.9,16K,0,$16.1M,107
https://www.imdb.com/title/tt26625693/,The Order,Crime,12/6/24,6.8,27K,0,$2.3M,116
